Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
XXXLutz Werbespot 2010,XXXLutz,Instagram,2023-01-19,5631487,DJ Ötzi,XXXLutz macht Wohnen zum Erlebnis.,http://www.brandl-feichtenschlager.net/,YouTube Leaderboard
ÖBB Werbespot 2005,ÖBB,TV,2021-04-07,2427746,Manuel Rubey,Magenta – So geht Internet heute.,http://steidl-klingler.org/,Horizont.at
Red Bull Werbespot 2010,Red Bull,YouTube,2021-03-23,2648361,Petra Frey,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.bischof.org/,ORF
Spar Werbespot 1990,Spar,TikTok,2024-03-12,6929990,Manuel Rubey,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://www.vogt-kronsteiner.net/,Horizont.at
Hofer Werbespot 2016,Hofer,YouTube,2021-03-20,1583556,Manuel Rubey,ÖBB – Nachhaltig ans Ziel.,https://zach.com/,ORF
Lidl Österreich Werbespot 2011,Lidl Österreich,TV,2021-07-23,6385262,Petra Frey,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://www.reisinger-rettenbacher.org/,YouTube Leaderboard
Erste Bank Werbespot 2007,Erste Bank,Facebook,2023-01-24,7791883,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://muehlboeck-rath.net/,Statista AT
Hofer Werbespot 1976,Hofer,YouTube,2021-04-09,5295009,Conchita Wurst,Bei Lidl Österreich ist mehr für dich drin.,http://winter-haller.net/,YouTube Leaderboard
Billa Werbespot 1993,Billa,TikTok,2024-02-26,124709,Marcel Hirscher,ÖBB – Nachhaltig ans Ziel.,https://duenser.com/,Statista AT
Spar Werbespot 2015,Spar,YouTube,2022-06-19,3880905,Anna Veith,XXXLutz macht Wohnen zum Erlebnis.,https://www.mark.at/,YouTube Leaderboard
Hofer Werbespot 1976,Hofer,TikTok,2023-12-21,5927421,Marcel Hirscher,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://pesendorfer.org/,Statista AT
Hofer Werbespot 2008,Hofer,Facebook,2025-01-28,3841802,Petra Frey,ÖBB – Nachhaltig ans Ziel.,https://www.kiss-widmann.net/,YouTube Leaderboard
XXXLutz Werbespot 2019,XXXLutz,TikTok,2020-09-25,4273433,Anna Veith,Red Bull verleiht dir Flüüügel.,https://eibl-pollak.org/,Meta Ads Library
Erste Bank Werbespot 1984,Erste Bank,Instagram,2021-08-12,7847043,Manuel Rubey,ÖBB – Nachhaltig ans Ziel.,https://www.kessler.com/,ORF
Red Bull Werbespot 1977,Red Bull,Instagram,2022-09-01,7035257,Marcel Hirscher,Bei Lidl Österreich ist mehr für dich drin.,http://spreitzer.org/,Horizont.at
Hofer Werbespot 2015,Hofer,TV,2025-01-12,4527941,Christoph Waltz,Mit Hofer wird’s g’scheit günstig.,http://glaser.com/,ORF
ÖBB Werbespot 1993,ÖBB,TikTok,2023-04-14,3174267,,Mit Hofer wird’s g’scheit günstig.,http://www.pieber.net/,ORF
A1 Telekom Werbespot 1974,A1 Telekom,TikTok,2021-07-03,3222592,Anna Veith,Spar – wo Qualität auf Preis trifft.,http://www.oberhauser.net/,Statista AT
Red Bull Werbespot 2000,Red Bull,TV,2023-03-14,5925880,DJ Ötzi,Magenta – So geht Internet heute.,http://schuh-kahr.org/,Statista AT
Billa Werbespot 2010,Billa,YouTube,2021-01-07,1069030,Petra Frey,ÖBB – Nachhaltig ans Ziel.,http://www.siegl.at/,Horizont.at
ÖBB Werbespot 2015,ÖBB,TV,2020-12-28,846442,Conchita Wurst,ÖBB – Nachhaltig ans Ziel.,https://lampert.net/,Statista AT
Red Bull Werbespot 1998,Red Bull,TV,2022-08-15,7315915,Christoph Waltz,Red Bull verleiht dir Flüüügel.,http://www.larcher-ender.com/,Meta Ads Library
Hofer Werbespot 2016,Hofer,Instagram,2024-06-08,5238278,Marcel Hirscher,Magenta – So geht Internet heute.,https://www.kreidl.at/,Meta Ads Library
ÖBB Werbespot 1970,ÖBB,TikTok,2022-01-14,3197749,,Erste Bank – Weil du zählst.,https://www.spiegl.com/,Statista AT
Magenta Werbespot 1992,Magenta,TikTok,2021-04-26,583954,Armin Assinger,Spar – wo Qualität auf Preis trifft.,http://larcher.net/,ORF
A1 Telekom Werbespot 2006,A1 Telekom,TV,2022-04-03,835800,Conchita Wurst,XXXLutz macht Wohnen zum Erlebnis.,https://www.weidinger-schoenberger.at/,Statista AT
Billa Werbespot 1999,Billa,YouTube,2020-06-16,395800,Marcel Hirscher,Erste Bank – Weil du zählst.,https://www.pointner-langer.org/,Meta Ads Library
Erste Bank Werbespot 1997,Erste Bank,Instagram,2023-11-07,3622862,DJ Ötzi,Red Bull verleiht dir Flüüügel.,https://www.bachler-kahr.co.at/,YouTube Leaderboard
Magenta Werbespot 2024,Magenta,TikTok,2024-03-18,5729356,Manuel Rubey,Red Bull verleiht dir Flüüügel.,https://www.vogel-eichhorn.co.at/,YouTube Leaderboard
Billa Werbespot 1999,Billa,TikTok,2023-09-15,7315132,Conchita Wurst,Magenta – So geht Internet heute.,http://seebacher-karrer.co.at/,Horizont.at
A1 Telekom Werbespot 1992,A1 Telekom,TikTok,2021-09-23,1210558,Petra Frey,Spar – wo Qualität auf Preis trifft.,http://www.nagl.com/,Statista AT
Erste Bank Werbespot 1993,Erste Bank,Instagram,2021-07-21,5603865,Petra Frey,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://www.hell.co.at/,Statista AT
Erste Bank Werbespot 2010,Erste Bank,TikTok,2021-08-06,1335195,,XXXLutz macht Wohnen zum Erlebnis.,http://www.mitteregger.org/,Statista AT
ÖBB Werbespot 2021,ÖBB,Instagram,2025-03-24,5369806,,Magenta – So geht Internet heute.,https://jenewein.at/,ORF
Hofer Werbespot 2001,Hofer,Facebook,2024-01-22,3237040,Marcel Hirscher,Mit Hofer wird’s g’scheit günstig.,https://brandtner.at/,Meta Ads Library
A1 Telekom Werbespot 1991,A1 Telekom,TikTok,2024-03-23,3021167,Manuel Rubey,Bei Lidl Österreich ist mehr für dich drin.,https://www.knoll.at/,ORF
Erste Bank Werbespot 2013,Erste Bank,TV,2021-01-24,2312508,Armin Assinger,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://perner.at/,Horizont.at
Red Bull Werbespot 2000,Red Bull,TV,2025-02-28,6996359,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://marte.at/,YouTube Leaderboard
Lidl Österreich Werbespot 2000,Lidl Österreich,Facebook,2021-03-06,5350337,DJ Ötzi,Spar – wo Qualität auf Preis trifft.,https://www.ritter.co.at/,Horizont.at
Erste Bank Werbespot 2018,Erste Bank,Facebook,2024-01-09,5280127,,XXXLutz macht Wohnen zum Erlebnis.,https://www.kofler-holzer.net/,Meta Ads Library
Erste Bank Werbespot 1997,Erste Bank,YouTube,2023-03-06,4871817,Petra Frey,Erste Bank – Weil du zählst.,http://kalcher.org/,YouTube Leaderboard
Spar Werbespot 2016,Spar,Instagram,2023-08-03,6280323,Marcel Hirscher,Magenta – So geht Internet heute.,https://walder.org/,YouTube Leaderboard
A1 Telekom Werbespot 1980,A1 Telekom,TikTok,2023-02-18,7362284,Christoph Waltz,Erste Bank – Weil du zählst.,http://www.huetter-rupp.net/,Horizont.at
Magenta Werbespot 1978,Magenta,Facebook,2021-01-07,2165621,Marcel Hirscher,Mit Hofer wird’s g’scheit günstig.,https://stelzl.co.at/,ORF
ÖBB Werbespot 2015,ÖBB,TV,2024-10-10,641656,Conchita Wurst,Red Bull verleiht dir Flüüügel.,http://klingler.com/,YouTube Leaderboard
XXXLutz Werbespot 1982,XXXLutz,Instagram,2022-02-13,767515,,Magenta – So geht Internet heute.,https://haindl.co.at/,Meta Ads Library
Erste Bank Werbespot 1975,Erste Bank,YouTube,2022-10-24,3825021,,Erste Bank – Weil du zählst.,http://www.kargl.org/,ORF
Lidl Österreich Werbespot 1978,Lidl Österreich,Instagram,2023-07-03,918872,Manuel Rubey,Spar – wo Qualität auf Preis trifft.,http://www.traxler.org/,Statista AT
Red Bull Werbespot 2025,Red Bull,TikTok,2021-09-15,2761516,,Bei Lidl Österreich ist mehr für dich drin.,https://www.klotz-schartner.co.at/,YouTube Leaderboard
Spar Werbespot 2000,Spar,TV,2022-09-21,7638496,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.haslinger.net/,Statista AT
Spar Werbespot 1983,Spar,YouTube,2023-06-05,7947817,Christoph Waltz,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://steidl-kopf.org/,ORF
Hofer Werbespot 2005,Hofer,YouTube,2023-11-10,1979645,Conchita Wurst,ÖBB – Nachhaltig ans Ziel.,http://www.fiedler.at/,YouTube Leaderboard
XXXLutz Werbespot 2013,XXXLutz,Instagram,2024-05-21,5634446,Petra Frey,ÖBB – Nachhaltig ans Ziel.,https://www.vogler.at/,Statista AT
Lidl Österreich Werbespot 1989,Lidl Österreich,TV,2021-01-04,5503883,Christoph Waltz,XXXLutz macht Wohnen zum Erlebnis.,http://zeilinger-neubauer.co.at/,Statista AT
Lidl Österreich Werbespot 1999,Lidl Österreich,Instagram,2021-01-28,284444,Manuel Rubey,Erste Bank – Weil du zählst.,http://bartl-koehler.at/,YouTube Leaderboard
Hofer Werbespot 1996,Hofer,Facebook,2024-07-26,7186036,Petra Frey,Erste Bank – Weil du zählst.,https://www.decker-kohl.co.at/,Meta Ads Library
ÖBB Werbespot 1971,ÖBB,Instagram,2023-01-04,517930,,Magenta – So geht Internet heute.,http://fichtinger.com/,ORF
A1 Telekom Werbespot 2002,A1 Telekom,TV,2021-06-24,779012,Conchita Wurst,Spar – wo Qualität auf Preis trifft.,https://aichinger.at/,Horizont.at
Red Bull Werbespot 1987,Red Bull,Instagram,2022-02-18,2053203,Armin Assinger,Red Bull verleiht dir Flüüügel.,http://stefan.co.at/,Horizont.at
A1 Telekom Werbespot 1990,A1 Telekom,TikTok,2021-05-02,1747761,Conchita Wurst,Bei Lidl Österreich ist mehr für dich drin.,http://www.rieger-steurer.org/,YouTube Leaderboard
A1 Telekom Werbespot 2001,A1 Telekom,Facebook,2020-10-31,6625623,DJ Ötzi,Bei Lidl Österreich ist mehr für dich drin.,http://oberndorfer.org/,Meta Ads Library
Erste Bank Werbespot 2009,Erste Bank,Facebook,2022-05-10,4541655,Christoph Waltz,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://ackerl-reichl.com/,YouTube Leaderboard
Spar Werbespot 1986,Spar,YouTube,2025-02-24,1115645,,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://www.schachner.com/,ORF
A1 Telekom Werbespot 1974,A1 Telekom,Instagram,2024-10-09,142381,,Red Bull verleiht dir Flüüügel.,http://bischof-rieder.net/,ORF
Red Bull Werbespot 1995,Red Bull,TV,2022-06-16,4423125,Christoph Waltz,XXXLutz macht Wohnen zum Erlebnis.,http://kellner.at/,Meta Ads Library
Hofer Werbespot 2022,Hofer,Instagram,2025-03-31,4315352,Petra Frey,Bei Lidl Österreich ist mehr für dich drin.,https://www.kirchner.com/,Meta Ads Library
Hofer Werbespot 2013,Hofer,Facebook,2021-10-14,7940721,,Bei Lidl Österreich ist mehr für dich drin.,https://glueck.at/,Meta Ads Library
Magenta Werbespot 2018,Magenta,TV,2024-03-10,5406732,Marcel Hirscher,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://bischof.at/,Meta Ads Library
Hofer Werbespot 1991,Hofer,TV,2022-12-08,5765402,Manuel Rubey,XXXLutz macht Wohnen zum Erlebnis.,https://bergmann-sieberer.co.at/,Statista AT
Hofer Werbespot 1989,Hofer,YouTube,2023-05-03,2712069,Conchita Wurst,Bei Lidl Österreich ist mehr für dich drin.,http://fasching-stockinger.com/,YouTube Leaderboard
Spar Werbespot 1999,Spar,Instagram,2023-09-13,5247154,Christoph Waltz,Bei Lidl Österreich ist mehr für dich drin.,https://grabner-mittermayr.net/,Horizont.at
ÖBB Werbespot 1994,ÖBB,TikTok,2024-09-18,4460633,Manuel Rubey,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.lampert.org/,Statista AT
Magenta Werbespot 1982,Magenta,TV,2024-12-08,841969,,XXXLutz macht Wohnen zum Erlebnis.,https://danner.com/,Horizont.at
A1 Telekom Werbespot 1990,A1 Telekom,TV,2024-02-03,7459847,Manuel Rubey,Spar – wo Qualität auf Preis trifft.,https://www.leopold.at/,Statista AT
ÖBB Werbespot 2019,ÖBB,TV,2023-04-19,3499574,Petra Frey,XXXLutz macht Wohnen zum Erlebnis.,https://stelzl.net/,ORF
XXXLutz Werbespot 1994,XXXLutz,Instagram,2024-08-30,3149864,DJ Ötzi,Red Bull verleiht dir Flüüügel.,http://www.wagner.net/,Statista AT
Spar Werbespot 1972,Spar,YouTube,2021-05-16,792070,Conchita Wurst,Magenta – So geht Internet heute.,http://www.knapp.org/,Meta Ads Library
ÖBB Werbespot 1972,ÖBB,TikTok,2021-08-08,513156,Christoph Waltz,Bei Lidl Österreich ist mehr für dich drin.,https://leopold-sperl.at/,Horizont.at
Magenta Werbespot 2009,Magenta,YouTube,2021-06-20,3456112,DJ Ötzi,Erste Bank – Weil du zählst.,https://rosner-hofstaetter.co.at/,Statista AT
Red Bull Werbespot 1977,Red Bull,TikTok,2020-07-08,2631011,Marcel Hirscher,Erste Bank – Weil du zählst.,http://krainz.at/,Meta Ads Library
Lidl Österreich Werbespot 1987,Lidl Österreich,Facebook,2022-07-06,1307970,,Mit Hofer wird’s g’scheit günstig.,https://www.holzmann.co.at/,YouTube Leaderboard
Spar Werbespot 1978,Spar,TikTok,2021-06-14,3093325,DJ Ötzi,XXXLutz macht Wohnen zum Erlebnis.,http://zach.net/,ORF
Lidl Österreich Werbespot 1975,Lidl Österreich,TV,2023-01-06,7099675,Anna Veith,ÖBB – Nachhaltig ans Ziel.,https://www.pachler.com/,Horizont.at
Lidl Österreich Werbespot 1980,Lidl Österreich,TikTok,2021-10-11,230233,,Bei Lidl Österreich ist mehr für dich drin.,https://www.grundner.co.at/,ORF
Red Bull Werbespot 2023,Red Bull,Instagram,2024-07-01,5904664,Christoph Waltz,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://platzer.org/,ORF
ÖBB Werbespot 1978,ÖBB,Facebook,2021-01-11,7306937,Armin Assinger,Red Bull verleiht dir Flüüügel.,http://schrenk-schroeder.net/,Horizont.at
XXXLutz Werbespot 2005,XXXLutz,Facebook,2023-10-17,6225698,Conchita Wurst,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://www.jost.at/,Meta Ads Library
Magenta Werbespot 2000,Magenta,TV,2024-04-05,3531810,Anna Veith,Mit Hofer wird’s g’scheit günstig.,https://www.riegler.co.at/,ORF
Billa Werbespot 1999,Billa,Instagram,2024-07-29,6063185,DJ Ötzi,Erste Bank – Weil du zählst.,http://www.frick.co.at/,Horizont.at
Lidl Österreich Werbespot 1991,Lidl Österreich,YouTube,2022-03-20,1315098,Conchita Wurst,Red Bull verleiht dir Flüüügel.,https://heinrich.org/,Horizont.at
Red Bull Werbespot 1988,Red Bull,YouTube,2021-05-12,2292564,,Mit Hofer wird’s g’scheit günstig.,https://www.riener.org/,Statista AT
Hofer Werbespot 1980,Hofer,TV,2021-10-02,3484425,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.decker.org/,YouTube Leaderboard
Magenta Werbespot 1988,Magenta,Instagram,2022-02-02,3616376,Conchita Wurst,XXXLutz macht Wohnen zum Erlebnis.,https://www.wirth-reiter.org/,ORF
Lidl Österreich Werbespot 1989,Lidl Österreich,TikTok,2022-11-13,5606313,Petra Frey,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.kugler.at/,Meta Ads Library
A1 Telekom Werbespot 2016,A1 Telekom,TikTok,2020-10-22,469544,Manuel Rubey,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://mayrhofer-macher.co.at/,YouTube Leaderboard
Erste Bank Werbespot 1993,Erste Bank,Facebook,2021-07-09,6420246,Anna Veith,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://wegscheider.co.at/,ORF
ÖBB Werbespot 2021,ÖBB,YouTube,2023-06-14,4182370,Conchita Wurst,Magenta – So geht Internet heute.,http://maier.com/,YouTube Leaderboard
Billa Werbespot 2000,Billa,TikTok,2022-05-29,5912822,Manuel Rubey,Spar – wo Qualität auf Preis trifft.,http://www.hubmann.org/,Horizont.at
Magenta Werbespot 1998,Magenta,Instagram,2022-05-30,614613,,Magenta – So geht Internet heute.,http://schuh.co.at/,Meta Ads Library
XXXLutz Werbespot 2003,XXXLutz,TV,2024-09-04,7737270,Armin Assinger,XXXLutz macht Wohnen zum Erlebnis.,https://mohr-bader.at/,ORF
Lidl Österreich Werbespot 1996,Lidl Österreich,TikTok,2024-08-06,3402545,Manuel Rubey,Magenta – So geht Internet heute.,https://www.praxmarer.at/,ORF
Spar Werbespot 1973,Spar,YouTube,2022-09-10,2734352,Manuel Rubey,Red Bull verleiht dir Flüüügel.,https://ofner-altmann.at/,Horizont.at
Hofer Werbespot 1999,Hofer,YouTube,2021-06-09,3673403,DJ Ötzi,XXXLutz macht Wohnen zum Erlebnis.,https://klug-bittner.net/,YouTube Leaderboard
XXXLutz Werbespot 1973,XXXLutz,TV,2025-02-23,4405316,,XXXLutz macht Wohnen zum Erlebnis.,http://hosp.org/,Statista AT
Erste Bank Werbespot 2000,Erste Bank,Facebook,2024-12-22,2803982,DJ Ötzi,Red Bull verleiht dir Flüüügel.,https://www.eberharter.com/,Meta Ads Library
Magenta Werbespot 2024,Magenta,YouTube,2023-03-08,4461035,,ÖBB – Nachhaltig ans Ziel.,https://www.radl.net/,YouTube Leaderboard
ÖBB Werbespot 2004,ÖBB,Facebook,2020-08-22,1991966,DJ Ötzi,XXXLutz macht Wohnen zum Erlebnis.,http://www.schranz.net/,YouTube Leaderboard
Erste Bank Werbespot 2005,Erste Bank,Facebook,2024-03-08,5063288,Anna Veith,Red Bull verleiht dir Flüüügel.,http://www.reichel-juen.co.at/,Meta Ads Library
Billa Werbespot 1996,Billa,TV,2022-11-04,3901920,,Bei Lidl Österreich ist mehr für dich drin.,https://pfleger.at/,Horizont.at
Hofer Werbespot 1995,Hofer,TikTok,2023-02-12,5403806,,Bei Lidl Österreich ist mehr für dich drin.,http://hoermann.at/,ORF
ÖBB Werbespot 2010,ÖBB,TV,2024-05-02,582826,Christoph Waltz,Mit Hofer wird’s g’scheit günstig.,https://www.bogner.co.at/,Statista AT
Erste Bank Werbespot 2005,Erste Bank,TikTok,2023-07-14,481205,Marcel Hirscher,Erste Bank – Weil du zählst.,http://www.platzer.at/,Horizont.at
Spar Werbespot 1982,Spar,TV,2020-06-16,3800928,Marcel Hirscher,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://frey-koeberl.co.at/,Meta Ads Library
ÖBB Werbespot 1997,ÖBB,YouTube,2024-07-26,5417854,Marcel Hirscher,XXXLutz macht Wohnen zum Erlebnis.,https://www.fiedler.org/,Horizont.at
Lidl Österreich Werbespot 1992,Lidl Österreich,TV,2024-05-14,3891506,,Bei Lidl Österreich ist mehr für dich drin.,https://ludwig.com/,Horizont.at
Red Bull Werbespot 2007,Red Bull,TikTok,2023-04-24,5478008,Petra Frey,Spar – wo Qualität auf Preis trifft.,https://heger.org/,ORF
Lidl Österreich Werbespot 1990,Lidl Österreich,TikTok,2022-03-18,1275514,Petra Frey,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://guggenberger.net/,Statista AT
Spar Werbespot 1991,Spar,YouTube,2024-05-18,4242463,DJ Ötzi,Red Bull verleiht dir Flüüügel.,https://falkner-pock.org/,Meta Ads Library
A1 Telekom Werbespot 1995,A1 Telekom,TV,2023-08-27,4406205,Petra Frey,ÖBB – Nachhaltig ans Ziel.,https://www.binder-horn.at/,Horizont.at
Billa Werbespot 1993,Billa,Instagram,2024-01-23,7710211,DJ Ötzi,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://gruenberger.com/,Statista AT
XXXLutz Werbespot 2008,XXXLutz,TikTok,2022-08-10,449273,DJ Ötzi,Erste Bank – Weil du zählst.,http://www.schoenauer.co.at/,Meta Ads Library
ÖBB Werbespot 1973,ÖBB,TikTok,2024-10-24,5700658,Conchita Wurst,Magenta – So geht Internet heute.,http://www.ecker.com/,ORF
Erste Bank Werbespot 2018,Erste Bank,TikTok,2024-04-25,7335600,,Red Bull verleiht dir Flüüügel.,http://www.peer.net/,ORF
Spar Werbespot 2014,Spar,Facebook,2024-05-05,7700226,,Erste Bank – Weil du zählst.,https://www.jungwirth-holzmann.at/,ORF
XXXLutz Werbespot 2022,XXXLutz,TikTok,2021-01-21,5956130,Christoph Waltz,XXXLutz macht Wohnen zum Erlebnis.,http://www.koenig.at/,ORF
Magenta Werbespot 1997,Magenta,Instagram,2024-07-06,6831488,Manuel Rubey,Red Bull verleiht dir Flüüügel.,http://amann.org/,Horizont.at
Spar Werbespot 2011,Spar,TV,2021-03-18,4275510,,Erste Bank – Weil du zählst.,https://riener-paier.org/,Meta Ads Library
ÖBB Werbespot 2003,ÖBB,Facebook,2021-06-09,7988986,Marcel Hirscher,Spar – wo Qualität auf Preis trifft.,https://strohmeier.com/,ORF
Hofer Werbespot 1981,Hofer,Facebook,2024-03-14,1163981,Anna Veith,Red Bull verleiht dir Flüüügel.,https://www.schoeberl.com/,Meta Ads Library
Erste Bank Werbespot 2008,Erste Bank,TikTok,2021-12-10,6476565,Conchita Wurst,ÖBB – Nachhaltig ans Ziel.,http://neuhauser-kainz.at/,Horizont.at
Red Bull Werbespot 1997,Red Bull,Instagram,2021-02-09,7361715,,Bei Lidl Österreich ist mehr für dich drin.,http://www.kager-heim.at/,YouTube Leaderboard
Lidl Österreich Werbespot 1987,Lidl Österreich,Facebook,2023-07-24,1371028,Manuel Rubey,Red Bull verleiht dir Flüüügel.,http://kalcher-hoefer.org/,Horizont.at
Billa Werbespot 2019,Billa,YouTube,2025-03-03,3456531,Petra Frey,Erste Bank – Weil du zählst.,http://klement.at/,YouTube Leaderboard
Hofer Werbespot 2015,Hofer,Instagram,2021-04-21,6321514,,Mit Hofer wird’s g’scheit günstig.,https://kugler.org/,YouTube Leaderboard
Magenta Werbespot 2017,Magenta,Instagram,2022-12-11,6793228,Anna Veith,Mit Hofer wird’s g’scheit günstig.,http://reichl-hahn.co.at/,YouTube Leaderboard
ÖBB Werbespot 1979,ÖBB,TikTok,2024-05-13,3705998,,Mit Hofer wird’s g’scheit günstig.,http://rauch.org/,ORF
XXXLutz Werbespot 2002,XXXLutz,TikTok,2024-11-14,3521981,,Red Bull verleiht dir Flüüügel.,http://www.siegl.at/,YouTube Leaderboard
Lidl Österreich Werbespot 2005,Lidl Österreich,Instagram,2024-02-05,447715,Christoph Waltz,Mit Hofer wird’s g’scheit günstig.,https://www.engel.org/,ORF
Magenta Werbespot 2004,Magenta,TikTok,2022-01-07,7150098,Conchita Wurst,XXXLutz macht Wohnen zum Erlebnis.,http://www.wallner-neumayr.net/,ORF
Spar Werbespot 1977,Spar,Instagram,2022-01-17,3779162,Christoph Waltz,ÖBB – Nachhaltig ans Ziel.,https://www.lercher.net/,YouTube Leaderboard
XXXLutz Werbespot 1978,XXXLutz,Facebook,2024-08-30,6861003,Conchita Wurst,Mit Hofer wird’s g’scheit günstig.,https://brenner.com/,ORF
Red Bull Werbespot 2019,Red Bull,YouTube,2020-06-25,3335696,Manuel Rubey,ÖBB – Nachhaltig ans Ziel.,https://seebacher.org/,ORF
A1 Telekom Werbespot 1974,A1 Telekom,YouTube,2020-09-06,3154995,Manuel Rubey,Spar – wo Qualität auf Preis trifft.,https://buchberger.at/,Meta Ads Library
ÖBB Werbespot 2002,ÖBB,Instagram,2020-07-26,6648581,Conchita Wurst,Red Bull verleiht dir Flüüügel.,https://stadlbauer.net/,YouTube Leaderboard
Red Bull Werbespot 1995,Red Bull,TV,2023-07-21,5849075,Marcel Hirscher,Red Bull verleiht dir Flüüügel.,https://danninger-schenk.org/,Statista AT
Hofer Werbespot 1979,Hofer,YouTube,2023-04-04,7608883,,XXXLutz macht Wohnen zum Erlebnis.,http://www.kraus.co.at/,Meta Ads Library
Erste Bank Werbespot 1970,Erste Bank,Facebook,2020-06-28,4613703,Anna Veith,Bei Lidl Österreich ist mehr für dich drin.,https://schroeder.org/,Horizont.at
XXXLutz Werbespot 1995,XXXLutz,Instagram,2022-04-02,2003470,Conchita Wurst,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://friedrich-hofmann.co.at/,Meta Ads Library
Red Bull Werbespot 2019,Red Bull,TV,2021-04-04,5369915,Anna Veith,Bei Lidl Österreich ist mehr für dich drin.,http://spitzer.at/,Statista AT
Spar Werbespot 1986,Spar,TV,2022-01-19,5015809,Conchita Wurst,ÖBB – Nachhaltig ans Ziel.,http://www.beer.at/,Meta Ads Library
Magenta Werbespot 1986,Magenta,Facebook,2020-09-03,6037586,,Red Bull verleiht dir Flüüügel.,https://oswald.at/,ORF
XXXLutz Werbespot 1979,XXXLutz,TikTok,2024-08-01,2969635,Armin Assinger,Spar – wo Qualität auf Preis trifft.,https://www.pointner.org/,Horizont.at
XXXLutz Werbespot 2022,XXXLutz,YouTube,2023-01-10,4401306,Christoph Waltz,Erste Bank – Weil du zählst.,http://salcher.co.at/,Meta Ads Library
Magenta Werbespot 1998,Magenta,TikTok,2022-11-08,6606904,,ÖBB – Nachhaltig ans Ziel.,https://www.puchner.co.at/,Horizont.at
Red Bull Werbespot 2012,Red Bull,TV,2023-12-07,375193,Manuel Rubey,Magenta – So geht Internet heute.,https://www.rieser-schaller.net/,ORF
Erste Bank Werbespot 2023,Erste Bank,Instagram,2024-10-04,6624585,Armin Assinger,XXXLutz macht Wohnen zum Erlebnis.,https://franz-haeusler.net/,ORF
A1 Telekom Werbespot 1982,A1 Telekom,YouTube,2024-11-15,6481822,,Bei Lidl Österreich ist mehr für dich drin.,https://www.haeusler.co.at/,ORF
Billa Werbespot 2024,Billa,Instagram,2024-03-27,4590295,Armin Assinger,Erste Bank – Weil du zählst.,http://peter-noebauer.co.at/,YouTube Leaderboard
Hofer Werbespot 1996,Hofer,Facebook,2022-05-13,6817335,Petra Frey,Red Bull verleiht dir Flüüügel.,https://www.rohrer-dangl.net/,Meta Ads Library
Hofer Werbespot 1995,Hofer,Instagram,2021-01-31,1701067,Armin Assinger,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://www.kolb-schantl.org/,YouTube Leaderboard
Red Bull Werbespot 2011,Red Bull,Instagram,2020-08-19,4333350,DJ Ötzi,Magenta – So geht Internet heute.,http://www.schulz.co.at/,Horizont.at
Hofer Werbespot 2002,Hofer,YouTube,2022-01-27,6329062,Marcel Hirscher,Spar – wo Qualität auf Preis trifft.,https://goetz.at/,ORF
ÖBB Werbespot 2020,ÖBB,Instagram,2024-05-15,2301907,Armin Assinger,XXXLutz macht Wohnen zum Erlebnis.,http://www.hattinger-pendl.com/,ORF
XXXLutz Werbespot 2022,XXXLutz,TV,2022-09-15,7514763,Manuel Rubey,Magenta – So geht Internet heute.,https://rosenberger.com/,ORF
Billa Werbespot 1994,Billa,TV,2024-08-29,3091529,Petra Frey,ÖBB – Nachhaltig ans Ziel.,https://strauss.net/,ORF
Spar Werbespot 2021,Spar,YouTube,2023-01-08,3622194,Manuel Rubey,Bei Lidl Österreich ist mehr für dich drin.,http://koeck-bittner.org/,YouTube Leaderboard
Magenta Werbespot 1985,Magenta,Instagram,2021-07-16,870653,Marcel Hirscher,XXXLutz macht Wohnen zum Erlebnis.,http://prem.net/,ORF
Erste Bank Werbespot 1990,Erste Bank,TV,2021-08-05,5065156,Marcel Hirscher,Magenta – So geht Internet heute.,http://kollmann.co.at/,YouTube Leaderboard
